"funded_per_faculty_x","Area","Productivity_x","ProductivityWithDeptCollabs_x","ProductivityWithoutDeptCollabs_x","YearGroupSize_x","Title_x","uniform_percentile_x","UpwardMove","WindowedGroupSize_x","WindowedGroupSize4_x","Gender","Productivity_y","ProductivityWithDeptCollabs_y","ProductivityWithoutDeptCollabs_y","YearGroupSize_y","WindowedGroupSize_y","WindowedGroupSize4_y","PersonId"
0.845070422535211,"Chemical Sciences",4,2.66666666666667,1.33333333333333,4.66666666666667,"Professor",0.848360655737705,0,8.33333333333333,9.33333333333333,"Unknown",5,5,0,4,15,15,"63e7756acf32a68b44d5308932b3e22c"
0.0333333333333333,"Earth Sciences",0,0,0,0,"Professor",0.522727272727273,1,0,0,"Unknown",0,0,0,0,1,1,"70d082f51625634363e72430dcad073e"
0.113924050632911,"Health",0.333333333333333,0.333333333333333,0,0.666666666666667,"Assistant Professor",0.67906976744186,0,2.66666666666667,3,"Unknown",0,0,0,0,0,0,"8d17c44fe2e218a1587821cdb76ed804"
0.849206349206349,"Engineering",4.5,3.5,1,5.5,"Professor",0.83495145631068,0,10,10,"Male",0,0,0,0,0,0,"3ae3a422d38e52ebc29556948310a53f"
3.66666666666667,"Computational Sciences",2,1,1,2,"Assistant Professor",0.801801801801802,1,3,3,"Female",2.5,2,0.5,5.5,6,6,"3e69c403c1b4a6445f8e8020d9a41e86"
0.0441176470588235,"Medical Sciences",1.33333333333333,0.333333333333333,1,2,"Professor",0.316129032258064,1,5,5.66666666666667,"Male",3,2.5,0.5,11,21,21.5,"b4c455a469d5d1f0e3d0e214336b7728"
0.614583333333333,"Chemical Sciences",4.33333333333333,2.66666666666667,1.66666666666667,3.66666666666667,"Professor",0.651639344262295,1,4.33333333333333,4.33333333333333,"Male",1,0.5,0.5,2,2.5,3,"bedb68412aaddfd751dbd26d0e8b77d2"
0.00854700854700855,"Engineering",3.66666666666667,3.66666666666667,0,7.66666666666667,"Assistant Professor",0.271844660194175,1,12,12.3333333333333,"Female",3,3,0,6.5,16,16,"6bd90b5ec92bc30acc17a44f27e6abef"
3.09302325581395,"Chemical Sciences",4,4,0,6.5,"Assistant Professor",0.852459016393443,0,9,10,"Male",3,2,1,4,7,7,"d6a8ae5a5bee04e8252d15a529b88016"
0.576470588235294,"Biological Sciences",0.5,0,0.5,0.5,"Assistant Professor",0.652830188679245,0,3.5,4,"Unknown",0,0,0,0,8,9,"7e292377a3ee582caea124c711d55d15"
3.72222222222222,"Physical Sciences",1,0,1,0.666666666666667,"Professor",0.883495145631068,0,0.666666666666667,1,"Male",0.5,0,0.5,0.5,1,1,"9cb1d38227550108ed5dcdbbc389c7b5"
1.07142857142857,"Biological Sciences",3,0,3,1,"Associate Professor",0.40377358490566,0,6,6,"Unknown",1,1,0,1,2,2,"99e7940494a9be2c9dca3710d7cb0663"
0.393939393939394,"Biological Sciences",2,0.5,1.5,1.5,"Assistant Professor",0.950943396226415,0,1.5,1.5,"Unknown",1,0,1,0.5,1,2.5,"a37c2898e7a8847394d2777cf10256ac"
0.25,"Health",4,1,3,2,"Professor",0.302325581395349,1,2,3,"Female",1,0,1,0.5,4.5,6,"929d6011cd43896fcf8b1aea2f568d6a"
0.653846153846154,"Physical Sciences",0.5,0.5,0,2.5,"Professor",0.490291262135922,1,5,5,"Male",1,0,1,1,1,1,"db919b1c304382e291d94c9f195049ab"
0.345679012345679,"Earth Sciences",1,0,1,1,"Assistant Professor",0.693181818181818,1,2,2,"Male",1,1,0,3,3.5,4,"dd154b2bad3af9d1d28dbd3f177e389b"
1,"Psychological Sciences",2,0.5,1.5,1.5,"Assistant Professor",0.938223938223938,1,2.5,3.5,"Male",3,1,2,3,6,6,"ccc7bdce636c5f16210b80e8bb03a77e"
1.31034482758621,"Architecture, Design, Planning",0,0,0,0,"Professor",0.94059405940594,0,0,0,"Female",1,0,1,1,1,1,"74ee38fcbe90c7cdaea5494d31eb6914"
2.09090909090909,"Chemical Sciences",8,7,1,11,"Associate Professor",0.737704918032787,1,21,21,"Unknown",3.5,3,0.5,8.5,17,17.5,"abb777614a9c68850823edf91d6172ee"
0.338709677419355,"Health",1,0,1,1,"Associate Professor",0.981395348837209,0,1,1,"Male",0,0,0,0,0,0,"72d66980b119c7cca73833b903b145b4"
11.9166666666667,"Computational Sciences",2.5,1.75,0.75,3,"Associate Professor",0.972972972972973,1,7.5,9.25,"Male",0,0,0,0,2,4,"08a14d0fdfe6ef0afc1bf67ad3daaff6"
0.358974358974359,"Earth Sciences",0,0,0,0,"Associate Professor",0.8125,1,0,0,"Female",0,0,0,0,0,0,"28e4426daf0f2162b438b2f45e612441"
0.218045112781955,"Biological Sciences",2.25,1,1.25,2.25,"Associate Professor",0.826415094339623,0,3.75,4,"Male",0.5,0,0.5,0.5,1,1,"5dc171157e4795e621aaa4091a592536"
1.16949152542373,"Engineering",0,0,0,0,"Professor",0.771844660194175,1,0,0,"Female",0,0,0,0,0,0,"e4ec03e1d22596b2b798ea623a6b40e8"
6.11904761904762,"Biological Sciences",2.5,2,0.5,4,"Professor",0.947169811320755,0,10,10.5,"Unknown",2,1,1,2,2,2,"b9029d301683568925b9bcb31e37cac6"
0.388059701492537,"Health",1,0,1,0.333333333333333,"Associate Professor",0.651162790697674,0,1,1,"Male",1.5,1.5,0,4,4.5,4.5,"80485e46a20bfbdf07a099567ea10ec8"
0.700534759358289,"Engineering",7,6,1,10,"Associate Professor",0.645631067961165,1,15,15,"Unknown",0,0,0,0,0,0,"734878edf2fc035717751b81de8a8c6b"
1.63934426229508,"Engineering",1,0,1,0.666666666666667,"Associate Professor",0.781553398058252,0,1,1,"Male",2,1,1,2,2,2,"edddf59e6baa848f31b336fcc8a2abe7"
0.302752293577982,"Biological Sciences",0.333333333333333,0,0.333333333333333,0.333333333333333,"Professor",0.735849056603774,0,1,1,"Unknown",0,0,0,0,0,0,"0854b512ce6cc80832af660a7e7fbf6e"
0.655555555555556,"Biological Sciences",1,1,0,4,"Professor",0.977358490566038,1,5,5,"Male",0,0,0,0,0,0,"e2a068ae889ef5e7cda2606cca114834"
0.459459459459459,"Engineering",0.666666666666667,0.333333333333333,0.333333333333333,1.33333333333333,"Professor",0.553398058252427,1,2,2,"Male",0,0,0,0,0,0,"532ba850548f4b7521db02507f808da4"
0.0072992700729927,"Health",0,0,0,0,"Professor",0.823255813953488,1,0,0,"Female",1.5,1,0.5,2.5,3,3,"59d0987e8d5752bc82bc4eb3a89e010c"
1.10434782608696,"Biological Sciences",1.75,1.75,0,3,"Assistant Professor",0.852830188679245,0,4,4.25,"Female",3,1,2,2,2,2,"fa8a762ec990337e4870e972d4103228"
0.314606741573034,"Engineering",0.5,0,0.5,0.5,"Associate Professor",0.703883495145631,1,1.5,2,"Male",0,0,0,0,0,0,"19335f67de43f836f7b45095964fea73"
0,"Earth Sciences",2,1,1,3,"Associate Professor",0.653409090909091,1,4,4,"Male",0.5,0,0.5,0.5,3,3,"fe0159741feed170baddb1d20db754bd"
0,"Biological Sciences",2.5,1.5,1,3,"Assistant Professor",0.709433962264151,1,5.5,6,"Male",1,1,0,2.5,3,3,"23d15ab95d006dc0924e67df58628755"
